"Code","Weigths"
"sz.300003",0.0204081632653061
"sz.300014",0.0204081632653061
"sz.300015",0.0204081632653061
"sz.300017",0.0204081632653061
"sz.300024",0.0204081632653061
"sz.300033",0.0204081632653061
"sz.300059",0.0204081632653061
"sz.300068",0.0204081632653061
"sz.300070",0.0204081632653061
"sz.300073",0.0204081632653061
"sz.300078",0.0204081632653061
"sz.300088",0.0204081632653061
"sz.300098",0.0204081632653061
"sz.300113",0.0204081632653061
"sz.300115",0.0204081632653061
"sz.300124",0.0204081632653061
"sz.300122",0.0204081632653061
"sz.300136",0.0204081632653061
"sz.300142",0.0204081632653061
"sz.300146",0.0204081632653061
"sz.300168",0.0204081632653061
"sz.300170",0.0204081632653061
"sz.300182",0.0204081632653061
"sz.300207",0.0204081632653061
"sz.300212",0.0204081632653061
"sz.300251",0.0204081632653061
"sz.300253",0.0204081632653061
"sz.300274",0.0204081632653061
"sz.300308",0.0204081632653061
"sz.300315",0.0204081632653061
"sz.300316",0.0204081632653061
"sz.300347",0.0204081632653061
"sz.300377",0.0204081632653061
"sz.300383",0.0204081632653061
"sz.300408",0.0204081632653061
"sz.300413",0.0204081632653061
"sz.300418",0.0204081632653061
"sz.300433",0.0204081632653061
"sz.300450",0.0204081632653061
"sz.300496",0.0204081632653061
"sz.300567",0.0204081632653061
"sz.300601",0.0204081632653061
"sz.300618",0.0204081632653061
"sz.300666",0.0204081632653061
"sz.300676",0.0204081632653061
"sz.300750",0.0204081632653061
"sz.300748",0.0204081632653061
"sz.300760",0.0204081632653061
"CYB_ETF",0.0204081632653061
"Cash",-6.66133814775094e-16
