"Code","Weigths"
"sz.300014",0.122788680644144
"sz.300015",0.0180384381090796
"sz.300017",-0.0463512442731126
"sz.300059",0.0250371350248852
"sz.300068",-0.0172858643228569
"sz.300078",-0.0227045033265417
"sz.300088",0.00391868406000634
"sz.300098",-0.00302689069723895
"sz.300124",0.0775540312898872
"sz.300170",-0.0126951916111244
"sz.300207",0.0009387736907072
"sz.300274",0.0716522755484495
"sz.300347",0.0673248299239495
"sz.300433",0.027118572854823
"sz.300748",0.0465235109717307
"CYB_ETF",0.0691558002360061
"Cash",0.572012961877206
