"Portfolio","Date","Num +","Num -","Sum +","Max +","Min -","Sum -","CYB_ETF"
"Factor",2016-12-30,0,0,0,0,0,0,0.406385553587073
"Factor",2017-06-30,0,0,0,0,0,0,0.415625411819482
"Factor",2017-12-29,0,0,0,0,0,0,0.418871070573315
"Factor",2018-06-29,0,0,0,0,0,0,0.455636565089189
"Factor",2018-12-28,0,0,0,0,0,0,0.644380941138888
"Factor",2019-06-28,0,0,0,0,0,0,0.73668369128698
"Factor",2019-12-31,0,0,0,0,0,0,0.728452779821996
"Factor",2020-06-30,0,0,0,0,0,0,0.655272661514266
"Factor",2020-12-31,0,0,0,0,0,0,0.619517951049884
"Factor",2021-06-30,0,0,0,0,0,0,0.610774208510046
"Factor",2021-12-31,0,0,0,0,0,0,0.625118245898106
