"Portfolio","Date","Num +","Num -","Sum +","Max +","Min -","Sum -","CYB_ETF"
"MAXSER",2016-12-30,9,0,0.649371815700762,0.225416683151448,0,0,-0.405823946139175
"MAXSER",2017-06-30,3,0,0.601072211412314,0.280453454062505,0,0,-0.401801347868346
"MAXSER",2017-12-29,5,0,0.586217891277752,0.353892776568042,0,0,-0.328802143767185
"MAXSER",2018-06-29,6,2,0.546175366305168,0.172468821870461,-0.12187293662187,-0.12551987372953,-0.537935639055964
"MAXSER",2018-12-28,21,3,1.71744636971076,0.235264635832853,-0.129417618835625,-0.157719214354691,-1.87809598095651
"MAXSER",2019-06-28,15,0,1.41661634002716,0.192911036940315,0,0,-1.63306056383464
"MAXSER",2019-12-31,18,3,1.71521005565926,0.259530239488058,-0.0535450510334477,-0.110458171683012,-1.68925298921123
"MAXSER",2020-06-30,16,2,1.37529827836697,0.171442805369218,-0.0097518653302116,-0.018861932399604,-1.29487496280341
"MAXSER",2020-12-31,13,4,1.20133129781223,0.20720952000756,-0.065038504130832,-0.133839613692063,-0.915189198580626
"MAXSER",2021-06-30,4,1,0.330324740196526,0.149847613292813,-0.0474521802242353,-0.0474521802242353,0.114004602402668
"MAXSER",2021-12-31,2,0,0.164627277885412,0.105006465852762,0,0,0.372637783610137
