"Portfolio","Date","Num +","Num -","Sum +","Max +","Min -","Sum -","CYB_ETF"
"MAXSER_ALL_Long_Only",2016-12-30,9,0,0.414015706613624,0.145286256955561,0,0,1.76888464941144e-16
"MAXSER_ALL_Long_Only",2017-06-30,3,0,0.401332811260122,0.177971355716626,0,0,-5.5536461204236e-17
"MAXSER_ALL_Long_Only",2017-12-29,5,0,0.439854721938317,0.245099270822965,0,0,-5.65573916339803e-17
"MAXSER_ALL_Long_Only",2018-06-29,2,0,0.482934518077549,0.286447811037881,0,0,0
"MAXSER_ALL_Long_Only",2018-12-28,2,0,0.491372761174599,0.376793248082572,0,0,0
"MAXSER_ALL_Long_Only",2019-06-28,15,0,0.716612655310327,0.0921463077145377,0,0,0
"MAXSER_ALL_Long_Only",2019-12-31,10,0,0.781158628185516,0.180971804838124,0,0,0
"MAXSER_ALL_Long_Only",2020-06-30,15,0,0.579524209513076,0.083589125549053,0,0,1.18760829410146e-16
"MAXSER_ALL_Long_Only",2020-12-31,4,0,0.471995729831037,0.195668443805391,0,0,-2.03439018277245e-16
"MAXSER_ALL_Long_Only",2021-06-30,2,0,0.333736020323281,0.194309042531542,0,0,-7.244042413922e-17
"MAXSER_ALL_Long_Only",2021-12-31,2,0,0.348060385969023,0.218579390771345,0,0,1.65164019632734e-16
